time_stamp,caption
00:00,hey what's up john sonmez from
00:01,simpleprogrammer.com
00:03,so I got this question from Caden about
00:06,how much am i worth as a software
00:10,developer that this was good he says
00:12,here he says hey John new topic for
00:13,simple programmer to possibly take a
00:15,look at maybe I should probably do a
00:16,blog post well this actually but that
00:18,would give a little bit more details but
00:19,I'll try to cover it here in a little
00:20,bit here he says it's hard for me as a
00:23,student to judge how much my skills are
00:25,worth in the industry because I haven't
00:27,worked in the industry yet I'm curious
00:29,if you could break down what kind of
00:30,salary ranges software intern should be
00:33,expected to be paid and what kind of
00:34,range of software engineer is fresh out
00:36,of college should be paid I wouldn't
00:37,want to go into an interview with
00:39,misleading expectations have them ask me
00:42,what kind of salary I'm comfortable with
00:43,and end up way over shooting or under
00:45,shooting after I've been in the industry
00:47,for a while I'm sure this would clear
00:48,out but it seems a bit hard to job with
00:52,no actual industry experience maybe you
00:54,could also cover a few good things to
00:55,know that could actually make students
00:57,more of an asset a company and more
00:59,excited to start them off at higher
01:01,salaries Thanks so I'm actually not
01:05,going to answer the second question and
01:06,this one because a lot of my videos talk
01:09,about that so I think you could probably
01:11,I've got a lot of videos in college you
01:13,might want to check those out in likes
01:16,are starting out as a software developer
01:17,those will probably answer that question
01:19,but I don't think I've really talked too
01:21,much about salary ranges I think of the
01:23,few videos I can't think of them now but
01:26,talking about particular salaries but so
01:29,I'm going to try and cover this topic
01:31,although there's some caveats here the
01:34,first caveat is this I'm going to tell
01:36,you what I think perhaps salary ranges
01:40,might or should be for developers in the
01:44,United States of America that are not in
01:47,cities like San Francisco or New York
01:50,right that are in just like general this
01:54,is a very generalized and you'll have to
01:55,adjust it for for kind of California and
01:58,New York and financial industry maybe
01:59,some Chicago type of salary if you're in
02:02,the financial industry for your quant
02:03,if you're involved in that it's gonna be
02:05,totally different if you're in
02:07,Facebook's and startups and Silicon
02:09,Valley it's gonna be totally different
02:10,so then the second caveat is
02:12,this what I'm telling you is bullshit
02:14,because you shouldn't really listen to
02:17,this this is just like a very very basic
02:18,guideline I don't know what I'm talking
02:21,about because it there are so many
02:23,outliers and you and part of like if
02:26,you're watching these videos if you're
02:27,going a simple programmer if you bought
02:29,how to market yourself as a software
02:30,developer especially if you've bought
02:32,that course then you know that the whole
02:35,point is to be an outlier is to to not
02:38,be not not be the traditional developer
02:42,that's stuck at the traditional rate
02:44,salary range but I'm going to kind of
02:46,break down what is the traditional one
02:47,and then maybe I'll if I still have some
02:49,time talk a little bit about breaking
02:51,out of that and why that that's actually
02:53,bullshit so let's talk about interns
02:55,first so what should an intern be paid
02:59,hmm that's a good question it could be
03:02,zero right that's that's valid for an
03:04,internship I think especially when
03:07,you're getting a good opportunity I if I
03:10,were just starting out I know it's tough
03:11,to break into the industry especially if
03:14,it's a good company as an intern I would
03:16,be willing to accept zero
03:17,honestly I don't I don't think there's
03:20,any problem with not getting paid when
03:22,you're learning a skill in getting an in
03:24,if you know for example I just have this
03:26,conversation with a friend of mine and
